id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
MMP11	17170.5467722107	248.439329691569	18894.8011824944	76.0539855181216	6.24895194752574	1.6973522284754e-113	5.13669704903512e-109
COL10A1	8580.13586800359	67.9338182876425	9447.47476035517	139.068802527087	7.11965500442496	1.7117565757673e-98	2.59014446262229e-94
CAV1	8624.91456747784	48164.9228538502	4596.04086471852	0.0954229881913145	-3.38951932444088	2.27090235623733e-89	2.29081060022701e-85
GSN	37594.7650199514	150996.854033945	26039.8181682099	0.172452719858362	-2.53572721227457	9.87632395031372e-89	7.4721797927086e-85
OXTR	2017.28731363431	13819.1465446439	814.753415434057	0.0589583020052598	-4.08416121425399	3.63304443044241e-80	2.19893647196957e-76
CHRDL1	2831.43935655582	21094.0830483169	970.592884807396	0.0460125658263604	-4.44182828121981	2.00294570892168e-72	1.01025243315161e-68
COL11A1	12009.3896256926	181.96683766383	13214.528286691	72.62053051174	6.18230556432403	1.5385414689485e-70	6.65155435354119e-67
DST	16167.1124445592	60526.9937197586	11647.1245418562	0.19242859798692	-2.37760487214145	2.89711728379569e-69	1.09594325449386e-65
SYNM	5994.18090094062	30115.3981078632	3536.38329554634	0.117427745197995	-3.0901547739147	1.82093506458985e-68	6.12299531774251e-65
SCARA5	825.885634147081	6927.59381808007	204.160634341465	0.0294706415680195	-5.08457772188407	3.16362157847019e-65	9.57406798292434e-62
ITIH5	3009.40815541892	20238.5943759992	1253.86438361949	0.0619541239042981	-4.01265587289289	1.82967694928966e-64	4.82117473560479e-61
LYVE1	765.592989462469	6277.87884837956	203.926350997518	0.0324833205486523	-4.94415707282389	1.9117105649558e-64	4.82117473560479e-61
TNS1	15244.7911229931	77096.7575307895	8942.47173247827	0.115990244192915	-3.10792462786543	1.97372716630198e-63	4.59468501798436e-60
EGR1	21871.5395987728	93347.3192312538	14588.6152538942	0.156283173143443	-2.67776564175356	7.41682991474377e-63	1.60325374078493e-59
MME	3249.03126125423	17457.5123209808	1801.27800629562	0.103180680796702	-3.27675522420306	1.88140229391649e-62	3.79579184138633e-59
DCN	46239.7053408068	144297.586607032	36248.2350224267	0.251204721262193	-1.99306451569945	2.67526285407452e-62	5.06009248455358e-59
CD300LG	621.629826923729	5158.12225646713	159.390291722282	0.0309008363503681	-5.01621030367745	9.51300822915816e-60	1.69348334140596e-56
TXNIP	42945.6937913307	137816.526098979	33278.9633578192	0.241472951755572	-2.0500664981805	2.4504720134677e-59	4.11992414130961e-56
TNXB	2497.25941783761	17016.6981726197	1017.82156455503	0.0598131055878237	-4.0633945632941	1.90009515108579e-56	3.02645155564786e-53
CD36	13200.9644739294	92720.9077948317	5098.39134925681	0.0549864261525381	-4.18478066821601	3.93049286394881e-56	5.94742527708414e-53
ANXA1	12023.2199326936	44348.6706238057	8729.46346010958	0.196837094265093	-2.3449259704022	8.3702405851045e-55	1.20623138489056e-51
CAVIN2	1327.54427082065	8793.88460492278	566.771991511772	0.0644506969302844	-3.95566023068463	1.29239841301783e-54	1.77781150787085e-51
TRARG1	2076.77826494375	17392.0318251029	516.25197793024	0.0296832470824429	-5.07420727121545	1.53781686403756e-54	2.02343268505951e-51
PLIN1	8036.38995874808	69675.6602260714	1755.74294323182	0.0251987987991084	-5.31050122620323	1.7423828691992e-54	2.14303853389257e-51
KIT	3605.98588538243	17201.6633259602	2220.67339594574	0.129096434098578	-2.95347894381118	1.7703454167569e-54	2.14303853389257e-51
FN1	273981.225838707	41140.412080533	297706.214075563	7.23634497128515	2.85526118580593	4.34413932709254e-54	5.05641109445391e-51
